ISO,Country/Territory,GDPPerCapita,GDP,EcologicalFootprint,GHGIntensity,EnergyIntensity,WaterIntensity,ClimateCosts,InfraQuality,ForeignPop,EduAttainment,EaseBusiness,ICTDevelopment,KOFIndex,RegulatoryQuality,ClimateResilience,GlobalAdaptation,GovtEffectiveness
GRL,Greenland,,,,,,,,,,39.62570953,,,0,1.321487308,,,0.838607967
GRD,Grenada,15124,886,3.102874484,907.7317747,,7.05,7.473,,,,147,5.8,59.04393768,-0.053824238,,56.47144027,-0.175041571
GUM,Guam,,,,,,,,,31.41480189,,,,0,0.111296237,,,0.285539836
GTM,Guatemala,8150,466,1.839585701,625.4554691,32.84420958,,0.4432,3.363133669,,26.59972954,98,3.35,63.09933472,-0.255445004,,43.27977888,-0.639803767
GIN,Guinea,2242,685,1.462458605,13875.81986,,,0.0085,2.578125,1.540843661,,152,1.78,46.59724045,-0.837892413,,36.83696043,-1.044228196
GNB,Guinea-Bissau,1700,671,1.279567528,7681.549997,,,0.1553,,,,175,1.48,38.9458046,-1.181865573,,32.14502418,-1.766072035
GUY,Guyana,8163,865,2.872008587,2143.346336,,0.599585062,0.8128,3.559736679,,,134,3.44,54.0608902,-0.393391043,,42.40233851,-0.290584892
HTI,Haiti,1815,715,0.673119432,1119.83104,22.01586996,11.14527287,2.7296,2.019607782,,,182,1.72,46.71670151,-1.316409707,,31.39566939,-2.055587292
HND,Honduras,4986,862,1.661326987,1104.601597,52.99643629,,1.9683,3.592039585,0.452880053,24.68818092,121,3.28,62.52487564,-0.436263412,,41.26349208,-0.511525214
HKG,"Hong Kong SAR, China",61540,75,,223.2798686,98.68032373,,,6.351648331,39.3247267,62.15829086,4,8.61,67.6944046,2.163464546,,,1.902441502
HUN,Hungary,28108,38,3.603739196,493.2297605,55.60738232,84.18333333,0.0998,4.533150673,3.856393095,76.05977631,53,6.93,85.1341629,0.649767637,33,58.37433686,0.513569653
ISL,Iceland,53153,179,,374.5486276,10.96335223,2.100588235,0.0044,5.599850178,,,21,8.98,72.9103241,1.432059407,,69.34499409,1.450666547
IND,India,7059,592,1.120082775,1643.047787,34.30552375,44.77869986,0.2725,4.561677933,,,77,3.03,61.17932892,-0.25402981,63.7,42.20431319,0.091671541
IDN,Indonesia,12284,315,1.608079712,849.3460994,-103.0913295,,0.0954,4.128623009,,33.73175049,73,4.33,62.96731567,-0.106315382,36.5,45.8504174,0.040761169
IRN,"Iran, Islamic Rep.",20841,590,3.404047724,,-33.39527219,,0.1223,3.963938951,1.11486297,48.38576889,128,5.58,54.18322372,-1.198723674,53,50.81300768,-0.190952122
IRQ,Iraq,16899,647,2.06668643,713.3333871,-229.390491,,0.0086,,,,171,,42.66902924,-1.203295708,,39.83332139,-1.265301704
IRL,Ireland,75648,518,4.706650589,277.3161371,84.25580305,1.544897959,0.0903,4.362379074,17.84274273,,23,8.02,84.63578796,1.58511579,36.7,64.73629493,1.291128397
ISR,Israel,38262,863,4.679560706,326.6462015,67.04873828,,0.0427,4.911572933,25.80104639,81.44174957,49,7.88,77.22993469,1.271691442,,61.14485274,1.385820627
ITA,Italy,39427,75,4.292110012,232.7101007,75.0013037,29.45205479,0.0699,4.277553558,8.082221776,49.15258026,51,7.04,82.59211731,0.704022348,55.5,60.6805448,0.502419829
JAM,Jamaica,9046,416,1.773236744,1048.040664,82.04251868,,0.7528,4.172176361,0.874618516,,75,4.84,66.45166779,0.144992709,,48.68879688,0.489569038
JPN,Japan,43279,995,4.744244534,238.4020799,93.98125952,18.88837209,0.0605,6.197003841,,,39,8.43,78.37361145,1.373820782,38.2,65.11918854,1.617228866
JEY,"Jersey, Channel Islands",,,,,,,,,47.28479154,,,,,0.680549681,,,1.262855411
JOR,Jordan,9153,238,2.136058544,877.9120917,96.81229729,124.4868035,0.0751,4.20862484,12.74147693,,104,6,73.57861328,0.096265249,,49.64035282,0.116523176
KAZ,Kazakhstan,26435,603,5.813344162,1762.038266,-116.8904268,31.04895105,0.0036,3.909531355,,,28,6.79,64.38980865,0.170439094,66.5,57.63016143,0.00893158
KEN,Kenya,3285,785,1.039112749,1076.952434,17.16990331,15.54589372,0.362,4.301241875,,,61,2.91,55.20448303,-0.232586861,,36.90206477,-0.311995238
KIR,Kiribati,2180,473,5.843356484,,,,6.5984,,2.78289895,,158,2.17,46.30187988,-0.831344843,,0,-0.245557606
PRK,"Korea, Dem. Rep.",,,2.87259366,89.87106304,-74.75239399,,,,,,,,0,-2.340671539,,0,-1.694579959
KOR,"Korea, Rep.",38335,971,5.815715949,,81.70429565,,0.0877,5.651405811,1.213520882,76.44989777,5,8.85,79.23038483,1.105011582,70.6,67.27450424,1.082476377
KSV,Kosovo,,,,,,,,,,,44,,,-0.134271026,,,-0.411454737
KWT,Kuwait,71943,240,7.649152593,,-391.0584858,,0.0001,4.125414371,,29.90126991,97,5.98,70.79157257,-0.06208986,,50.32226933,-0.166563079
KGZ,Kyrgyz Republic,3726,253,1.753071348,2088.846342,49.54466148,,0.0219,3.036874771,8.2420508,,70,4.37,63.13728333,-0.350244075,,50.08776248,-0.714440167
LAO,Lao PDR,7023,83,1.784002054,15862.55394,,,,3.759013176,,,154,2.91,43.77283478,-0.721490681,,39.40167969,-0.35872829
LVA,Latvia,28199,186,5.625795393,495.5019979,45.16008775,1.393152302,0.0631,4.265236855,14.58917267,89.41101074,19,7.26,79.84521484,1.154456258,78.5,60.79428634,0.904785335
LBN,Lebanon,14482,884,3.353890617,,97.86553522,,0.0491,2.332921505,,,142,6.3,68.22702026,-0.307231396,,45.17225408,-0.513486862
LSO,Lesotho,2926,999,1.462411247,1307.987773,,,0.421,2.653056145,0.208067166,,106,3.04,50.94181824,-0.321870238,,40.08104353,-0.850271225
LBR,Liberia,1283,328,1.195187664,1041.50782,,,0.0408,2.573236942,2.124513319,,174,,53.13316727,-0.94611448,,32.37564516,-1.370017767
LBY,Libya,19631,341,4.33438617,1029.716194,-102.964112,822.8571429,0.0051,1.85489866,,,186,4.11,54.61499023,-2.214114904,,40.80321614,-1.772441387
LIE,Liechtenstein,,,,,,,,,40.52394257,,14,,54.36987686,1.49382937,,0,1.764954209
LTU,Lithuania,32998,320,5.796873709,686.5066884,75.04470837,4.051746442,0.0465,4.940376282,5.901074085,86.00730896,,7.19,80.83867645,1.156089902,82.5,61.07702593,0.978155434
LUX,Luxembourg,103745,934,12.28484212,222.3808852,96.00213678,4.31,0.012,5.615082264,40.04309529,79.5658493,66,8.47,83.72696686,1.691276789,64.8,68.73807714,1.683228135
MAC,"Macao SAR, China",115123,578,,,,,,,59.26918385,51.97763824,,7.8,51.77567673,1.756898761,,,1.380955815
MKD,"Macedonia, FYR",15290,182,3.081527149,1332.401497,51.77099874,,0.1187,4.059390359,,,10,6.01,70.90887451,0.504985034,,55.07703391,0.140013874
MDG,Madagascar,1555,334,0.976587643,11888.36664,,,0.7388,2.658239603,,,161,1.68,48.43398666,-0.69403702,,32.89343173,-1.137712479
MWI,Malawi,1202,91,0.824202782,3616.808576,,,0.4979,2.478404522,1.609185944,,111,1.74,49.11252594,-0.74845916,,35.68792985,-0.669472635
MYS,Malaysia,29449,355,4.422594097,890.1552176,-5.505028941,,0.0512,5.311330318,,58.33237076,15,6.38,81.14424133,0.683502495,55.9,57.29074939,0.838082552
MDV,Maldives,16653,544,,,,15.66666667,0.014,,15.82730413,,139,5.25,49.2515831,-0.422421843,,40.46214318,-0.451128453
MLI,Mali,2214,786,1.538089365,6219.914189,,,0.1026,2.71579051,1.633752628,5.641059875,145,2.16,47.97251892,-0.572680533,,33.58149151,-0.93755424
MLT,Malta,41034,90,4.888544214,,98.38148617,44.35643564,0.0251,4.17305994,8.412388125,38.07236862,84,7.86,78.45513916,1.28226018,35.9,56.91798873,1.004574537
MHL,Marshall Islands,4238,583,,,,,6.6635,,,,150,,45.92330551,-1.034137845,,0,-1.552680969
MTQ,Martinique,,,4.467807219,,,,,,2.301973382,,,,,1.207126617,,,1.111428976
MRT,Mauritania,3950,426,2.303236601,,,,0.3659,1.516202688,,,148,2.26,50.60305023,-0.775994599,,36.03459501,-0.720201552
MUS,Mauritius,22309,684,3.495044293,,84.54228895,,0.1608,4.492791176,,,20,5.88,71.73953247,0.99530226,,55.6129447,0.899615884
MEX,Mexico,18273,347,2.548578354,552.350569,-10.79360098,20.02689487,0.181,4.070586205,0.855572921,33.29468918,54,5.16,71.49171448,0.196253836,77.5,50.66942027,-0.025352878
FSM,"Micronesia, Fed. Sts.",3693,312,5.68478836,,,,0.8967,,2.912866328,,160,,47.92453384,-0.990434885,,36.45196842,0.090110831
MDA,Moldova,5698,574,1.927385013,1329.73641,90.01107669,,0.9373,3.328729868,5.34783462,74.7263031,47,6.45,69.01448822,-0.038025133,,50.46255158,-0.511046052
MCO,Monaco,,,,,,,,,,,,8.05,50.3024559,,,0,
MNG,Mongolia,12918,790,9.49986957,,-168.0933932,1.583333333,0.3168,3.258268118,0.817713541,,74,4.96,65.53656006,-0.117150381,,52.72727216,-0.261899501
MNE,Montenegro,19352,78,3.416702745,,27.5691369,,,3.634852409,12.87520422,,50,6.44,70.63696289,0.298689544,,53.84282854,0.154392779
MAR,Morocco,8217,38,1.749562583,818.5609999,90.72183409,35.68965517,0.0975,4.664927959,,,60,4.77,69.42895508,-0.228113279,87.6,50.80799133,-0.159934446
MOZ,Mozambique,1248,791,0.869687212,25056.54846,-54.60162754,,0.6174,2.484745741,,9.448049545,135,2.32,53.66218185,-0.729563296,,35.39432393,-0.89269793
MMR,Myanmar,6161,319,1.548677784,8816.046876,-32.97079407,,0.6935,2.41677427,,,171,3,43.57294464,-0.831707299,,34.76053018,-1.051279306
NAM,Namibia,10449,148,2.086595475,2923.269114,74.44166879,,0.1903,4.568369865,4.449861505,,107,3.89,59.90602112,-0.189584225,,45.89768272,0.198665529
NRU,Nauru,14158,257,,,,,,,,,,,,-1.096875548,,0,-0.433887184
NPL,Nepal,2697,399,1.026344543,2162.248848,16.67706471,,0.22,2.86577034,1.826876446,,110,2.88,47.54735565,-0.716038048,,39.89387133,-0.881772101
NLD,Netherlands,52503,574,5.923473087,233.3397232,19.76928935,97.45454545,0.0312,6.230635166,10.39771106,69.98719788,36,8.49,90.96822357,2.04744792,90.8,66.47328416,1.85184443
ANT,Netherlands Antilles (former),,,,,,,,,,,,,,,,,
NZL,New Zealand,41109,868,5.129108939,446.3224694,17.08455259,1.590519878,0.2308,4.760043144,23.61564508,70.02867126,1,8.33,77.90871429,2.088636398,54.5,73.49181076,1.766219378
NIC,Nicaragua,5842,967,1.475227205,1549.852206,40.85937541,0.989116517,1.1265,3.510638237,0.674685702,,132,3.27,61.20284653,-0.671955764,,42.55060018,-0.638267875
NER,Niger,1017,501,1.755182759,1650.002279,-5.809741918,,0.3828,,,,143,,45.91501236,-0.679311395,,30.95230583,-0.673316777
NGA,Nigeria,5875,718,1.115306778,653.0183747,-93.02721929,5.642533937,0.0151,2.316082478,,,146,2.6,54.38938141,-0.885498822,,37.63573334,-0.960358143
NIU,Niue,,,,,,,,,,,,,,,,,
NOR,Norway,61414,143,6.032746434,124.525913,-582.8993394,,0.0265,5.197991371,12.27573342,77.83640289,7,8.47,86.39546204,1.813414216,81.7,76.05151675,1.983250856
