ISO,Country/Territory,GDPPerCapita,GDP,EcologicalFootprint,GHGIntensity,EnergyIntensity,WaterIntensity,ClimateCosts,InfraQuality,ForeignPop,EduAttainment,EaseBusiness,ICTDevelopment,KOFIndex,RegulatoryQuality,ClimateResilience,GlobalAdaptation,GovtEffectiveness
ARE,United Arab Emirates,73878,535,9.752580855,546.9664753,-183.8439704,,0.004,6.231951714,,53.07051086,11,7.21,73.96447754,1.012775421,,58.8923839,1.398046255
GBR,United Kingdom,43269,847,4.799216134,218.8127907,39.67463181,5.528965517,0.0712,4.986065865,12.65147903,74.70639038,9,8.65,89.35042572,1.714477539,77,69.12971137,1.414262295
USA,United States,59532,714,8.366051558,391.666415,9.214465501,14.85805536,0.2973,5.85104084,11.05382642,89.09236145,8,8.18,82.09593201,1.62811482,0,67.91834267,1.554402709
URY,Uruguay,22562,436,2.981182412,667.8467116,44.43350088,,0.1593,3.588198185,2.343453513,28.74780083,95,7.16,72.54161835,0.65730983,,54.35877326,0.415866882
UZB,Uzbekistan,6865,549,2.170705887,3419.723506,,,0.0083,,,92.56462097,76,4.9,46.92669678,-1.260567427,,47.21977717,-0.556019843
VUT,Vanuatu,3208,699,3.796226007,570.6145741,,,2.9596,,,,94,2.81,52.94226837,-0.331086189,,39.31975858,-0.900553942
VEN,"Venezuela, RB",,,3.271243368,850.5518622,,,0.1008,2.511074066,4.247763234,61.92459869,188,5.17,53.6166954,-1.959076047,,42.11449128,-1.399024129
VNM,Vietnam,6776,417,1.73407381,1998.058111,,,0.5492,3.594134331,,,69,4.43,64.26992798,-0.398280025,,46.57621969,0.002403325
VIR,Virgin Islands (U.S.),,,,,,,,,,,,,0,0.841849923,,,0.836132586
WBG,West Bank and Gaza,,,,,,,,,,,116,,33.41365051,0.022683006,,,-0.401484132
YEM,"Yemen, Rep.",2601,739,1.007929652,1156.030273,,,0.1205,2.167699575,,,187,,48.12046432,-1.45004642,,33.47076562,-1.91991818
ZMB,Zambia,4024,339,0.953958895,12557.5116,,,0.0882,3.239676237,,,87,2.54,56.62186813,-0.466104239,,38.64565322,-0.621982872
ZWE,Zimbabwe,2429,668,1.0881328,5125.750699,,,0.547,2.917176962,,15.1919899,155,2.92,50.72351456,-1.563329697,,33.08985598,-1.190635562
